hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 8.0, 'hidden_layers': 4.0, 'learning_rate': 0.0002259298582744063, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 5.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 11.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 11.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 3.0}",4,0.9601997885152872,0.0398002114847128,0.0001316070556640625
"{'hid_epoches': 6.0, 'hidden_layers': 5.0, 'learning_rate': 0.0003243911974403367, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 5.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 9.0}",6,0.9605247174523686,0.03947528254763144,0.00015091896057128906
"{'hid_epoches': 5.0, 'hidden_layers': 5.0, 'learning_rate': 7.1211576616751e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 5.0, 'mapfunction_12': 10.0, 'mapfunction_2': 0, 'mapfunction_3': 3.0, 'mapfunction_4': 0, 'mapfunction_5': 6.0, 'mapfunction_6': 0, 'mapfunction_7': 9.0, 'mapfunction_8': 8.0, 'mapfunction_9': 2.0}",9,0.9654990144744102,0.03450098552558978,0.00014162063598632812
"{'hid_epoches': 6.0, 'hidden_layers': 6.0, 'learning_rate': 6.370953803953511e-05, 'loss_function': 1, 'mapfunction_1': 10.0, 'mapfunction_10': 9.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 6.0, 'mapfunction_8': 8.0, 'mapfunction_9': 4.0}",10,0.9587848821813115,0.041215117818688474,0.00011682510375976562
"{'hid_epoches': 3.0, 'hidden_layers': 4.0, 'learning_rate': 0.00015875544877202457, 'loss_function': 1, 'mapfunction_1': 7.0, 'mapfunction_10': 7.0, 'mapfunction_11': 1.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 11.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 5.0, 'mapfunction_8': 4.0, 'mapfunction_9': 2.0}",12,0.9553505146556842,0.04464948534431579,0.00011181831359863281
"{'hid_epoches': 4.0, 'hidden_layers': 5.0, 'learning_rate': 5.4470371802569186e-05, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 4.0, 'mapfunction_11': 5.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 6.0, 'mapfunction_6': 5.0, 'mapfunction_7': 2.0, 'mapfunction_8': 3.0, 'mapfunction_9': 3.0}",15,0.9641885345667867,0.03581146543321334,0.00011444091796875
"{'hid_epoches': 6.0, 'hidden_layers': 6.0, 'learning_rate': 0.000195913299157994, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 9.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 10.0, 'mapfunction_7': 0, 'mapfunction_8': 4.0, 'mapfunction_9': 0}",16,0.9621340152532332,0.037865984746766834,0.00010395050048828125
"{'hid_epoches': 7.0, 'hidden_layers': 5.0, 'learning_rate': 0.00020208873071002236, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 12.0, 'mapfunction_11': 0, 'mapfunction_12': 1.0, 'mapfunction_2': 0, 'mapfunction_3': 8.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 3.0, 'mapfunction_9': 0}",20,0.9556467872631325,0.04435321273686754,0.0001049041748046875
"{'hid_epoches': 3.0, 'hidden_layers': 5.0, 'learning_rate': 7.658112226131997e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 4.0, 'mapfunction_12': 5.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 2.0, 'mapfunction_6': 2.0, 'mapfunction_7': 1.0, 'mapfunction_8': 6.0, 'mapfunction_9': 5.0}",21,0.9642071723755622,0.035792827624437806,0.00010275840759277344
"{'hid_epoches': 3.0, 'hidden_layers': 5.0, 'learning_rate': 7.940859304973345e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 3.0, 'mapfunction_12': 6.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 1.0, 'mapfunction_6': 2.0, 'mapfunction_7': 2.0, 'mapfunction_8': 6.0, 'mapfunction_9': 6.0}",22,0.9644872943764968,0.03551270562350317,9.870529174804688e-05
