learning_rate,hid_epoches,loss_function,hidden_layers,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
0.00015977463838841806,4.0,1,6.0,0,1,2,0,0,3,10,0,2,4,4,3,0.9705,0.970126582278481,0.9872679045092838,0.9695
0.00021733591827750333,8.0,2,5.0,0,7,0,0,8,0,6,0,12,9,4,5,0.9695,0.9690040650406505,0.9874542603240982,0.9535
0.00015829986559004212,7.0,1,5.0,0,0,0,0,4,7,4,0,0,7,0,9,0.976,0.9761194029850746,0.9890681936491411,0.981
0.00011385332586074539,6.0,1,4.0,0,0,10,0,7,9,0,0,0,6,9,0,0.977,0.9768261964735516,0.9860248447204969,0.974
0.0005248777903386931,4.0,2,4.0,0,0,5,0,0,8,0,0,0,0,0,4,0.974,0.973590655154901,0.9891640866873065,0.9715
6.761809124607664e-05,6.0,2,5.0,6,0,0,0,9,5,0,2,0,2,0,0,0.981,0.9808949220713927,0.9917184265010351,0.9755
0.0006791855053143666,8.0,1,5.0,0,6,0,7,0,0,2,0,3,12,0,0,0.9735,0.9731100963977676,0.9876416065911432,0.9605
0.00010590481326360875,6.0,2,5.0,11,0,12,0,0,6,0,0,0,8,0,6,0.9675,0.9669715447154471,0.9861849096705633,0.961
0.00046866411926942375,5.0,1,4.0,0,0,6,0,7,6,0,0,0,0,0,10,0.97025,0.9698810427739812,0.9895397489539749,0.958
0.0006840056537282575,5.0,1,5.0,4,0,0,8,10,4,0,0,0,12,0,3,0.91575,0.9126263935701322,0.974132863021752,0.88
0.00010698005465884898,6.0,2,5.0,0,0,0,0,11,12,5,7,0,0,0,0,0.972,0.9714722363728987,0.990134994807892,0.9605
0.00042359232586843405,7.0,1,5.0,8,0,0,0,0,9,7,0,0,0,0,0,0.947,0.9456688877498718,0.9848824188129899,0.9245
5.26935058884952e-05,7.0,2,5.0,4,11,0,0,0,0,10,0,0,0,0,8,0.977,0.9767794043412418,0.9884816753926702,0.968
0.00019259482545336967,7.0,2,6.0,0,4,5,0,9,0,0,5,7,8,0,0,0.97525,0.9749121926743602,0.9891304347826086,0.9715
0.0001317033135052802,5.0,2,4.0,0,11,0,0,0,0,10,12,0,2,0,4,0.963,0.9625884732052579,0.982521186440678,0.952
5.13189076065991e-05,5.0,1,6.0,0,7,0,0,0,0,1,0,0,0,11,12,0.975,0.9746450304259635,0.9906054279749478,0.971
0.0007666791030784318,5.0,1,5.0,0,0,12,0,0,3,0,5,0,0,0,0,0.893,0.8831877729257642,0.9821314613911933,0.809
0.0005038048639443401,6.0,1,5.0,0,9,0,0,0,0,4,0,0,6,9,12,0.96825,0.9679211922202577,0.9848167539267015,0.958
0.00013642252957817052,3.0,1,5.0,0,0,0,6,7,8,0,0,0,4,0,4,0.97025,0.9700025207965717,0.9920718816067653,0.962
6.405023355401658e-05,6.0,1,4.0,3,7,0,12,2,0,0,0,12,4,8,12,0.972,0.9717171717171716,0.9910667367314766,0.962
