hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 6.403212165744753e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 9.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 11.0, 'mapfunction_6': 0, 'mapfunction_7': 10.0, 'mapfunction_8': 3.0, 'mapfunction_9': 2.0}",2,0.8652640356373241,0.13473596436267588,0.00032067298889160156
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 0.0002467509522235656, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 4.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 2.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 7.0, 'mapfunction_6': 11.0, 'mapfunction_7': 0, 'mapfunction_8': 9.0, 'mapfunction_9': 8.0}",7,0.8606731662979558,0.13932683370204424,0.0001361370086669922
"{'hid_epoches': 5.0, 'hidden_layers': 6, 'learning_rate': 0.0008425678557324805, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 7.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 2.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 12.0, 'mapfunction_8': 11.0, 'mapfunction_9': 0}",8,0.902138298754207,0.09786170124579296,0.00011157989501953125
"{'hid_epoches': 5.0, 'hidden_layers': 6, 'learning_rate': 0.00036232318364843257, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 7.0, 'mapfunction_11': 0, 'mapfunction_12': 6.0, 'mapfunction_2': 0, 'mapfunction_3': 3.0, 'mapfunction_4': 0, 'mapfunction_5': 8.0, 'mapfunction_6': 0, 'mapfunction_7': 10.0, 'mapfunction_8': 3.0, 'mapfunction_9': 0}",9,0.8898633631783202,0.11013663682167985,9.393692016601562e-05
"{'hid_epoches': 3.0, 'hidden_layers': 6, 'learning_rate': 0.0004343914231949143, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 8.0, 'mapfunction_11': 0, 'mapfunction_12': 6.0, 'mapfunction_2': 4.0, 'mapfunction_3': 0, 'mapfunction_4': 11.0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 2.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",13,0.89853612149121,0.10146387850879002,9.703636169433594e-05
"{'hid_epoches': 6.0, 'hidden_layers': 6, 'learning_rate': 0.0009049302602566332, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 10.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 2.0, 'mapfunction_3': 0, 'mapfunction_4': 10.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 1.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",21,0.8923939706363244,0.10760602936367558,9.441375732421875e-05
"{'hid_epoches': 3.0, 'hidden_layers': 6, 'learning_rate': 0.00017174880860415634, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 12.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 5.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",23,0.8948727456008218,0.10512725439917825,9.298324584960938e-05
"{'hid_epoches': 4.0, 'hidden_layers': 6, 'learning_rate': 0.0007661867719745283, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 1.0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 6.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",26,0.8919620960683232,0.10803790393167678,9.584426879882812e-05
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 0.0006744364801361008, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 8.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 4.0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 9.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",35,0.8928094544955818,0.1071905455044182,0.0001220703125
"{'hid_epoches': 3.0, 'hidden_layers': 6, 'learning_rate': 5.260516096279648e-05, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 12.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 4.0, 'mapfunction_8': 12.0, 'mapfunction_9': 5.0}",39,0.8990725337348006,0.10092746626519944,0.00011134147644042969
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 5.4975956954203144e-05, 'loss_function': 2, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 10.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 5.0}",40,0.9098190733914575,0.09018092660854249,9.441375732421875e-05
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 5.2164068373468593e-05, 'loss_function': 2, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 10.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 8.0}",42,0.9109872148231105,0.08901278517688949,0.0001304149627685547
