learning_rate,hid_epoches,loss_function,hidden_layers,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
0.0003231906682827871,6.0,1,6,0,0,0,10,0,0,0,0,0,7,8,7,0.911,0.9076763485477178,0.9666090961427749,0.884
0.00011211012962753555,4.0,1,6,0,10,12,0,0,0,4,8,0,10,0,0,0.973,0.972644376899696,0.9865841073271414,0.96
0.00023828783946504558,4.0,1,6,0,0,0,0,0,1,2,0,5,12,9,0,0.5,0.6666666666666666,0.5,1.0
0.0003318114684575237,7.0,1,6,8,0,0,0,0,0,0,0,0,12,10,0,0.93775,0.9354420534093856,0.9839357429718876,0.902
0.0009705094013379446,6.0,2,6,0,0,0,0,0,6,0,0,0,0,0,1,0.5,0.6666666666666666,0.5,1.0
0.00010455383719168889,3.0,1,6,0,0,8,0,0,12,0,0,0,0,1,11,0.97175,0.9716720982702431,0.9865284974093265,0.969
0.00017161436151183392,5.0,2,6,3,0,0,9,0,0,0,0,8,2,0,12,0.9755,0.9753024193548387,0.9895287958115183,0.9675
0.00015902090607121012,3.0,2,6,0,0,0,4,0,0,2,0,3,8,0,1,0.97925,0.9790139064475348,0.9930703624733476,0.968
0.0008429657654761635,5.0,2,6,10,0,0,0,0,0,0,0,10,3,1,2,0.96675,0.9665071770334928,0.9814814814814815,0.9595
0.000889454848195032,4.0,2,6,0,0,0,0,11,0,0,0,0,0,11,0,0.5,0.6666666666666666,0.5,1.0
0.0005631775749983183,4.0,2,6,0,0,3,7,0,0,10,4,12,1,0,9,0.9325,0.9318869828456106,0.9621621621621622,0.9235
0.0001511991064640432,3.0,1,6,0,9,0,10,0,0,0,7,0,0,8,0,0.97225,0.9719200607133822,0.9890052356020942,0.9685
0.0009436791060133496,4.0,2,6,0,0,0,3,0,0,8,0,4,6,0,0,0.97675,0.9765565918830351,0.9851205746536685,0.975
0.0002977821870292852,6.0,2,6,0,0,8,0,0,0,0,2,0,10,6,10,0.97375,0.973397517101596,0.9874476987447699,0.9605
0.00021195203557699305,5.0,2,6,0,0,2,6,0,0,10,0,0,9,10,0,0.976,0.9757453259221829,0.9862104187946884,0.973
0.0008191279596170292,5.0,1,6,10,0,0,11,0,0,3,10,0,5,0,2,0.8935,0.8890046899426784,0.9690851735015773,0.853
0.00030128753081545964,7.0,1,6,0,2,0,0,10,0,3,0,8,0,8,8,0.9455,0.9451985922574158,0.9570393374741201,0.94
6.473104792049867e-05,7.0,2,6,5,6,10,0,0,0,5,8,7,0,3,0,0.97125,0.9708195889368181,0.9890909090909091,0.9565
0.00026960104069250683,7.0,1,6,0,10,0,0,0,0,0,7,0,6,0,7,0.97475,0.9744239047860218,0.9886187273667874,0.963
0.0008131203092134636,6.0,2,6,0,0,5,0,0,0,0,3,0,0,0,0,0.93475,0.9321196358907672,0.9872909698996656,0.9115
