Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Pred Learning Rate,Batch Size,Loss Function,Hid Learning Rate,Hid Epoches,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
BPE,11000,10,16,relu,0.1,2944,4,0.2,402,relative_key,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
Word,28000,4,128,gelu_new,0.4,2592,4,0.5,419,relative_key,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
WordPiece,37000,2,160,gelu_new,0.1,672,8,0.4,456,relative_key_query,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6346998535871157,0.4640171858216971,0.6659090909090909,0.36394271272114576
Unigram,12000,8,160,relu,0.4,2144,2,0.5,493,relative_key,5e-05,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
Word,38000,10,96,silu,0.1,2432,1,0.4,337,relative_key_query,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
Word,23000,11,144,silu,0.5,384,4,0.2,292,relative_key_query,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5735724743777453,0.06874500399680256,0.671875,0.03622577927548441
Unigram,43000,6,96,relu,0.1,1664,2,0.2,345,absolute,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6193265007320644,0.5396275443915115,0.6366906474820144,0.5248525695029486
WordPiece,5000,4,48,gelu_new,0.4,704,3,0.5,473,absolute,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BPE,37000,11,224,gelu_new,0.1,896,8,0.3,507,relative_key,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.633601756954612,0.5196548418024929,1.0,0.45661331086773377
WordPiece,17000,6,176,gelu,0.1,1312,2,0.1,410,absolute,5e-05,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6171303074670571,0.4712589073634204,0.6176961602671118,0.41786015164279694
WordPiece,30000,8,208,gelu_new,0.3,1312,8,0.5,414,absolute,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6116398243045388,0.442159383033419,0.6171003717472119,0.36225779275484415
WordPiece,22000,8,240,gelu,0.3,2112,6,0.3,347,absolute,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6281112737920937,0.43873085339168494,0.6666666666666666,0.33782645324347094
BPE,40000,7,208,relu,0.5,1504,2,0.5,482,relative_key,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
Unigram,19000,2,112,gelu_new,0.2,992,7,0.5,329,relative_key_query,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6185944363103953,0.4492600422832981,1.0,0.35804549283909015
Unigram,43000,2,96,relu,0.2,1984,1,0.2,417,relative_key_query,5e-05,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5669838945827232,0.006717044500419815,1.0,0.003369839932603201
WordPiece,25000,2,240,silu,0.2,2144,2,0.2,506,relative_key,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6431185944363104,0.4651673066374109,1.0,0.35720303285593935
Unigram,16000,2,160,relu,0.4,352,2,0.2,488,relative_key_query,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6218887262079063,0.4442105263157895,0.6191950464396285,0.35551811288963775
Word,11000,4,240,gelu_new,0.5,1536,2,0.2,472,relative_key,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
Unigram,30000,5,64,relu,0.5,832,8,0.3,258,relative_key_query,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6281112737920937,0.4508108108108108,0.6759259259259259,0.35130581297388375
WordPiece,30000,6,256,gelu,0.5,2048,8,0.4,431,absolute,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
