hyperparameters,iteration,accs,object_loss,run_time
"{'attention_probs_dropout_prob': 0.1, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 1, 'hidden_dropout_prob': 0.3, 'hidden_size': 176.0, 'intermediate_size': 608.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 418.0, 'num_attention_heads': 2.0, 'num_hidden_layers': 2.0, 'position_embedding_type': 1, 'pred_learning_rate': 0.0001, 'tokenizer': 2, 'vocab_size': 3000.0}",2,0.5768313500733996,0.4231686499266004,0.0002892017364501953
"{'attention_probs_dropout_prob': 0.4, 'batch_size': 16, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 4, 'hidden_dropout_prob': 0.2, 'hidden_size': 240.0, 'intermediate_size': 2048.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 450.0, 'num_attention_heads': 6.0, 'num_hidden_layers': 10.0, 'position_embedding_type': 3, 'pred_learning_rate': 0.0001, 'tokenizer': 4, 'vocab_size': 5000.0}",4,0.5617596659287,0.43824033407130003,0.0002295970916748047
"{'attention_probs_dropout_prob': 0.3, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 1, 'hidden_dropout_prob': 0.4, 'hidden_size': 144.0, 'intermediate_size': 2656.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 383.0, 'num_attention_heads': 6.0, 'num_hidden_layers': 5.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 2, 'vocab_size': 36000.0}",6,0.6030619240160129,0.3969380759839871,0.0002307891845703125
"{'attention_probs_dropout_prob': 0.2, 'batch_size': 16, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 1, 'hidden_dropout_prob': 0.3, 'hidden_size': 144.0, 'intermediate_size': 2880.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 504.0, 'num_attention_heads': 9.0, 'num_hidden_layers': 9.0, 'position_embedding_type': 1, 'pred_learning_rate': 0.0001, 'tokenizer': 1, 'vocab_size': 33000.0}",8,0.589899805417766,0.410100194582234,0.00022602081298828125
"{'attention_probs_dropout_prob': 0.2, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 1, 'hidden_dropout_prob': 0.1, 'hidden_size': 192.0, 'intermediate_size': 1216.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 475.0, 'num_attention_heads': 8.0, 'num_hidden_layers': 1.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 4, 'vocab_size': 22000.0}",12,0.5922459677568342,0.40775403224316575,0.00022530555725097656
"{'attention_probs_dropout_prob': 0.2, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 3, 'hidden_dropout_prob': 0.2, 'hidden_size': 208.0, 'intermediate_size': 1088.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 451.0, 'num_attention_heads': 2.0, 'num_hidden_layers': 4.0, 'position_embedding_type': 3, 'pred_learning_rate': 0.0001, 'tokenizer': 3, 'vocab_size': 32000.0}",16,0.6086439883890936,0.3913560116109064,0.00021982192993164062
"{'attention_probs_dropout_prob': 0.2, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 1, 'hidden_dropout_prob': 0.5, 'hidden_size': 176.0, 'intermediate_size': 1472.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 455.0, 'num_attention_heads': 4.0, 'num_hidden_layers': 9.0, 'position_embedding_type': 2, 'pred_learning_rate': 0.001, 'tokenizer': 2, 'vocab_size': 23000.0}",17,0.5921905162830754,0.4078094837169246,0.00021791458129882812
"{'attention_probs_dropout_prob': 0.4, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 3, 'hidden_dropout_prob': 0.1, 'hidden_size': 32.0, 'intermediate_size': 1888.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 475.0, 'num_attention_heads': 8.0, 'num_hidden_layers': 1.0, 'position_embedding_type': 3, 'pred_learning_rate': 0.0001, 'tokenizer': 1, 'vocab_size': 24000.0}",20,0.5908859407948123,0.40911405920518773,0.00022602081298828125
"{'attention_probs_dropout_prob': 0.3, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 112.0, 'intermediate_size': 992.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 373.0, 'num_attention_heads': 1.0, 'num_hidden_layers': 5.0, 'position_embedding_type': 3, 'pred_learning_rate': 5e-05, 'tokenizer': 3, 'vocab_size': 41000.0}",21,0.6314938172140062,0.3685061827859938,0.0003180503845214844
"{'attention_probs_dropout_prob': 0.2, 'batch_size': 32, 'hid_epoches': 0, 'hid_learning_rate': 0, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 112.0, 'intermediate_size': 992.0, 'loss_function': 0, 'mapfunction_1': 1, 'mapfunction_10': 10, 'mapfunction_11': 11, 'mapfunction_12': 12, 'mapfunction_2': 2, 'mapfunction_3': 3, 'mapfunction_4': 4, 'mapfunction_5': 5, 'mapfunction_6': 6, 'mapfunction_7': 7, 'mapfunction_8': 8, 'mapfunction_9': 9, 'max_sequence_length': 376.0, 'num_attention_heads': 1.0, 'num_hidden_layers': 7.0, 'position_embedding_type': 3, 'pred_learning_rate': 5e-05, 'tokenizer': 3, 'vocab_size': 44000.0}",22,0.635643080783137,0.364356919216863,0.0002720355987548828
