Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Pred Learning Rate,Batch Size,Loss Function,Hid Learning Rate,Hid Epoches,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
BERT-BPE,50265,12,48,gelu,0.3,576,12,0.1,383,absolute,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5988286969253295,0.4297936587820835,0.5642857142857143,0.35973041280539175
BERT-BPE,50265,3,240,gelu_new,0.1,96,12,0.3,430,relative_key_query,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6394582723279648,0.5036891293654697,0.6441281138790036,0.43133951137320975
BERT-BPE,50265,2,96,gelu_new,0.1,2112,12,0.4,480,absolute,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.595900439238653,0.4054336468129572,0.5799614643545279,0.32687447346251053
BERT-BPE,50265,10,240,gelu,0.1,608,12,0.4,415,absolute,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6211566617862372,0.4748858447488585,0.5969387755102041,0.3942712721145746
BERT-BPE,50265,6,144,gelu_new,0.3,64,12,0.5,509,relative_key_query,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6233528550512445,0.449438202247191,0.6301703163017032,0.35383319292333615
BERT-BPE,50265,7,240,relu,0.4,864,12,0.4,466,relative_key,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,9,144,relu,0.2,1824,12,0.4,328,relative_key,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,8,192,gelu_new,0.2,640,12,0.4,462,relative_key,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6101756954612005,0.4295661489019818,0.6666666666666666,0.33782645324347094
BERT-BPE,50265,9,144,relu,0.5,1408,12,0.2,417,relative_key,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,7,144,gelu_new,0.5,1888,12,0.4,407,relative_key_query,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,8,240,relu,0.2,2432,12,0.4,365,relative_key_query,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.612371888726208,0.45941807044410415,0.582901554404145,0.37910699241786017
BERT-BPE,50265,2,144,gelu,0.1,2944,12,0.4,277,absolute,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6288433382137628,0.49095354523227375,0.6207407407407407,0.42291491154170174
BERT-BPE,50265,9,96,relu,0.3,1888,12,0.1,474,relative_key_query,5e-05,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.582723279648609,0.34022988505747126,0.5813148788927336,0.2493681550126369
BERT-BPE,50265,7,192,silu,0.3,1120,12,0.5,484,absolute,5e-05,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5794289897510981,0.34282523729759906,0.538,0.2586352148272957
BERT-BPE,50265,7,96,silu,0.3,320,12,0.2,329,relative_key,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.626281112737921,0.5144694533762058,0.6064102564102564,0.4717775905644482
BERT-BPE,50265,9,96,silu,0.1,960,12,0.5,376,relative_key_query,0.001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,9,48,relu,0.5,704,12,0.3,492,relative_key_query,0.0001,16,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,10,144,silu,0.3,2848,12,0.1,379,relative_key_query,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,5,48,relu,0.4,608,12,0.5,377,absolute,0.0001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.5691800878477306,0.03445447087776866,0.65625,0.017691659646166806
BERT-BPE,50265,6,192,silu,0.4,928,12,0.4,486,relative_key_query,0.001,32,no hid_distil,0,0,1,2,3,4,5,6,7,8,9,10,11,12,0.6153001464128843,0.5110326566637245,0.5981012658227848,0.4877843302443134
