hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 5.0, 'hidden_layers': 3.0, 'learning_rate': 5.728673876374862e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 11.0, 'mapfunction_11': 0, 'mapfunction_12': 10.0, 'mapfunction_2': 7.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 10.0, 'mapfunction_9': 2.0}",1,0.6247164085675767,0.3752835914324233,0.00018095970153808594
"{'hid_epoches': 5.0, 'hidden_layers': 3.0, 'learning_rate': 0.00012043685460844187, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 2.0, 'mapfunction_3': 4.0, 'mapfunction_4': 8.0, 'mapfunction_5': 10.0, 'mapfunction_6': 0, 'mapfunction_7': 2.0, 'mapfunction_8': 0, 'mapfunction_9': 2.0}",2,0.6020017691721373,0.3979982308278627,0.000125885009765625
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 0.00018525892196423122, 'loss_function': 2, 'mapfunction_1': 2.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 2.0, 'mapfunction_7': 8.0, 'mapfunction_8': 0, 'mapfunction_9': 6.0}",5,0.6166691095183856,0.3833308904816144,0.00013780593872070312
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 8.487308279212155e-05, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 3.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 7.0, 'mapfunction_3': 0, 'mapfunction_4': 4.0, 'mapfunction_5': 10.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 0}",8,0.6055827117501046,0.3944172882498954,0.00020456314086914062
"{'hid_epoches': 9.0, 'hidden_layers': 2.0, 'learning_rate': 0.0007693927450186673, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 4.0, 'mapfunction_12': 0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 3.0, 'mapfunction_6': 0, 'mapfunction_7': 10.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",9,0.6076721884310808,0.39232781156891916,0.00013709068298339844
"{'hid_epoches': 9.0, 'hidden_layers': 5.0, 'learning_rate': 0.000221387730177504, 'loss_function': 1, 'mapfunction_1': 1.0, 'mapfunction_10': 0, 'mapfunction_11': 8.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 5.0, 'mapfunction_4': 0, 'mapfunction_5': 12.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",12,0.6195357972300088,0.38046420276999116,0.00011587142944335938
"{'hid_epoches': 11.0, 'hidden_layers': 4.0, 'learning_rate': 6.825610994325512e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 3.0, 'mapfunction_2': 0, 'mapfunction_3': 6.0, 'mapfunction_4': 12.0, 'mapfunction_5': 0, 'mapfunction_6': 7.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 7.0}",13,0.6224402006874898,0.37755979931251016,0.00011706352233886719
"{'hid_epoches': 10.0, 'hidden_layers': 2.0, 'learning_rate': 0.00017329407632212014, 'loss_function': 1, 'mapfunction_1': 7.0, 'mapfunction_10': 0, 'mapfunction_11': 3.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 5.0, 'mapfunction_4': 6.0, 'mapfunction_5': 2.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 7.0, 'mapfunction_9': 0}",14,0.6123404709212944,0.3876595290787056,8.797645568847656e-05
"{'hid_epoches': 9.0, 'hidden_layers': 1.0, 'learning_rate': 0.00013992066349497842, 'loss_function': 2, 'mapfunction_1': 4.0, 'mapfunction_10': 1.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 3.0, 'mapfunction_6': 2.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",15,0.6172726619800304,0.3827273380199696,9.942054748535156e-05
"{'hid_epoches': 5.0, 'hidden_layers': 3.0, 'learning_rate': 0.00012598598655976645, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 4.0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 4.0, 'mapfunction_3': 9.0, 'mapfunction_4': 11.0, 'mapfunction_5': 0, 'mapfunction_6': 7.0, 'mapfunction_7': 6.0, 'mapfunction_8': 8.0, 'mapfunction_9': 0}",16,0.6206391348407899,0.3793608651592101,9.655952453613281e-05
"{'hid_epoches': 8.0, 'hidden_layers': 2.0, 'learning_rate': 0.00014320766737701163, 'loss_function': 1, 'mapfunction_1': 2.0, 'mapfunction_10': 8.0, 'mapfunction_11': 6.0, 'mapfunction_12': 0, 'mapfunction_2': 5.0, 'mapfunction_3': 11.0, 'mapfunction_4': 6.0, 'mapfunction_5': 0, 'mapfunction_6': 11.0, 'mapfunction_7': 4.0, 'mapfunction_8': 0, 'mapfunction_9': 5.0}",17,0.6249830446865247,0.37501695531347534,9.560585021972656e-05
"{'hid_epoches': 7.0, 'hidden_layers': 5.0, 'learning_rate': 0.0008428077199960639, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 3.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 10.0, 'mapfunction_8': 12.0, 'mapfunction_9': 4.0}",19,0.6284729072172613,0.37152709278273865,9.655952453613281e-05
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 0.000377121304540519, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 4.0, 'mapfunction_2': 0, 'mapfunction_3': 5.0, 'mapfunction_4': 2.0, 'mapfunction_5': 5.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 0}",20,0.619693389348423,0.380306610651577,9.5367431640625e-05
"{'hid_epoches': 10.0, 'hidden_layers': 1.0, 'learning_rate': 0.00025407560186579894, 'loss_function': 1, 'mapfunction_1': 9.0, 'mapfunction_10': 0, 'mapfunction_11': 4.0, 'mapfunction_12': 0, 'mapfunction_2': 1.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 5.0, 'mapfunction_8': 1.0, 'mapfunction_9': 4.0}",25,0.6164541310936363,0.38354586890636366,0.0001652240753173828
"{'hid_epoches': 4.0, 'hidden_layers': 3.0, 'learning_rate': 0.00020897297896215071, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 12.0, 'mapfunction_12': 7.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 11.0, 'mapfunction_8': 1.0, 'mapfunction_9': 5.0}",31,0.6258001841901543,0.37419981580984574,0.0003540515899658203
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 0.0003735143191614774, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 7.0, 'mapfunction_2': 10.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 5.0, 'mapfunction_7': 11.0, 'mapfunction_8': 2.0, 'mapfunction_9': 1.0}",32,0.61626264150679,0.38373735849321,0.0001373291015625
"{'hid_epoches': 4.0, 'hidden_layers': 3.0, 'learning_rate': 0.00021233287419104605, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 5.0, 'mapfunction_2': 8.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 10.0, 'mapfunction_7': 11.0, 'mapfunction_8': 6.0, 'mapfunction_9': 3.0}",33,0.6210435908441396,0.3789564091558604,0.00013494491577148438
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 0.000474014417278095, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 1.0, 'mapfunction_2': 10.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 11.0, 'mapfunction_8': 1.0, 'mapfunction_9': 8.0}",34,0.6225734508934985,0.37742654910650153,0.00012636184692382812
"{'hid_epoches': 5.0, 'hidden_layers': 3.0, 'learning_rate': 0.0003234628327399975, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 9.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 4.0, 'mapfunction_7': 9.0, 'mapfunction_8': 8.0, 'mapfunction_9': 2.0}",35,0.6233546774830178,0.37664532251698224,0.00010728836059570312
"{'hid_epoches': 4.0, 'hidden_layers': 3.0, 'learning_rate': 0.00011100754265995793, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 12.0, 'mapfunction_12': 8.0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 10.0, 'mapfunction_7': 12.0, 'mapfunction_8': 5.0, 'mapfunction_9': 6.0}",36,0.6302019872129142,0.3697980127870858,9.584426879882812e-05
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 0.00010116509203836843, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 10.0, 'mapfunction_7': 12.0, 'mapfunction_8': 5.0, 'mapfunction_9': 9.0}",37,0.635189715793528,0.364810284206472,9.059906005859375e-05
"{'hid_epoches': 5.0, 'hidden_layers': 4.0, 'learning_rate': 0.00010303586631550461, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 12.0, 'mapfunction_8': 5.0, 'mapfunction_9': 11.0}",38,0.6329279269537886,0.36707207304621137,0.0001418590545654297
"{'hid_epoches': 5.0, 'hidden_layers': 4.0, 'learning_rate': 8.216292665888351e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 4.0, 'mapfunction_9': 0}",39,0.6161667777196055,0.3838332222803945,0.00014495849609375
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 5.221149096729519e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 7.0, 'mapfunction_11': 0, 'mapfunction_12': 11.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 9.0, 'mapfunction_8': 5.0, 'mapfunction_9': 12.0}",40,0.6348724155476453,0.3651275844523547,0.00013136863708496094
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 5.773591380962606e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 7.0, 'mapfunction_11': 0, 'mapfunction_12': 10.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 4.0, 'mapfunction_9': 0}",42,0.6165736864184087,0.3834263135815913,0.00010418891906738281
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 8.86858833658709e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 9.0, 'mapfunction_11': 0, 'mapfunction_12': 9.0, 'mapfunction_2': 10.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 12.0}",44,0.6324227574260113,0.3675772425739887,9.632110595703125e-05
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 0.0001475958826571972, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 7.0, 'mapfunction_11': 0, 'mapfunction_12': 5.0, 'mapfunction_2': 7.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 1.0, 'mapfunction_6': 0, 'mapfunction_7': 8.0, 'mapfunction_8': 8.0, 'mapfunction_9': 9.0}",46,0.6285620365393727,0.3714379634606273,9.1552734375e-05
"{'hid_epoches': 5.0, 'hidden_layers': 6.0, 'learning_rate': 7.599214307835824e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 10.0, 'mapfunction_11': 0, 'mapfunction_12': 9.0, 'mapfunction_2': 8.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 5.0, 'mapfunction_9': 11.0}",47,0.6316480802686509,0.36835191973134906,0.00010752677917480469
"{'hid_epoches': 7.0, 'hidden_layers': 5.0, 'learning_rate': 0.0001144602726494819, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 12.0, 'mapfunction_11': 0, 'mapfunction_12': 8.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 9.0, 'mapfunction_8': 4.0, 'mapfunction_9': 9.0}",49,0.631513816914068,0.36848618308593195,9.083747863769531e-05
"{'hid_epoches': 13.0, 'hidden_layers': 4.0, 'learning_rate': 5.114886318798204e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 6.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 11.0}",50,0.6379296514383478,0.3620703485616522,9.393692016601562e-05
"{'hid_epoches': 11.0, 'hidden_layers': 2.0, 'learning_rate': 9.29865219087514e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 0, 'mapfunction_12': 10.0, 'mapfunction_2': 6.0, 'mapfunction_3': 8.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 10.0}",52,0.6366035747941131,0.3633964252058869,0.00018024444580078125
"{'hid_epoches': 11.0, 'hidden_layers': 2.0, 'learning_rate': 0.00012985171070197297, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 0, 'mapfunction_12': 10.0, 'mapfunction_2': 6.0, 'mapfunction_3': 8.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",53,0.6315423117633651,0.36845768823663494,0.0001308917999267578
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 0.00012261676464895817, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 0, 'mapfunction_12': 10.0, 'mapfunction_2': 7.0, 'mapfunction_3': 11.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 8.0}",56,0.6313991559507914,0.36860084404920856,0.0001480579376220703
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 7.661288410446264e-05, 'loss_function': 2, 'mapfunction_1': 10.0, 'mapfunction_10': 3.0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 0, 'mapfunction_3': 7.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 8.0, 'mapfunction_9': 0}",58,0.6261785072251106,0.3738214927748894,0.00014901161193847656
"{'hid_epoches': 11.0, 'hidden_layers': 3.0, 'learning_rate': 6.23731914389135e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 1.0, 'mapfunction_11': 0, 'mapfunction_12': 3.0, 'mapfunction_2': 5.0, 'mapfunction_3': 6.0, 'mapfunction_4': 0, 'mapfunction_5': 9.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",61,0.6226858817818361,0.37731411821816385,0.00014829635620117188
"{'hid_epoches': 12.0, 'hidden_layers': 2.0, 'learning_rate': 0.0001603088263929046, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 5.0, 'mapfunction_2': 8.0, 'mapfunction_3': 4.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 8.0}",64,0.6234608759024198,0.37653912409758017,0.0001499652862548828
