hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 10.0, 'hidden_layers': 6, 'learning_rate': 0.00018361424156766303, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 3.0, 'mapfunction_12': 0, 'mapfunction_2': 7.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 8.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",3,0.6187838142695328,0.3812161857304672,0.0003256797790527344
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 0.0006903200611822166, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 4.0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 4.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",4,0.6204821301991974,0.3795178698008026,0.00010919570922851562
"{'hid_epoches': 11.0, 'hidden_layers': 6, 'learning_rate': 0.00044468101020865304, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 1.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 8.0, 'mapfunction_6': 9.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 3.0}",10,0.6391848018195907,0.3608151981804093,0.00010418891906738281
"{'hid_epoches': 5.0, 'hidden_layers': 6, 'learning_rate': 0.0008592169587892609, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 3.0, 'mapfunction_12': 4.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 12.0, 'mapfunction_7': 0, 'mapfunction_8': 8.0, 'mapfunction_9': 0}",14,0.6329259138994144,0.36707408610058556,0.00010085105895996094
"{'hid_epoches': 7.0, 'hidden_layers': 6, 'learning_rate': 0.0008317343497594535, 'loss_function': 2, 'mapfunction_1': 2.0, 'mapfunction_10': 11.0, 'mapfunction_11': 5.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 10.0, 'mapfunction_6': 0, 'mapfunction_7': 6.0, 'mapfunction_8': 0, 'mapfunction_9': 9.0}",19,0.6202557603042944,0.3797442396957056,9.417533874511719e-05
"{'hid_epoches': 12.0, 'hidden_layers': 6, 'learning_rate': 6.632507318909758e-05, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 1.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 1.0, 'mapfunction_6': 8.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 1.0}",21,0.6322993041466011,0.36770069585339893,9.34600830078125e-05
"{'hid_epoches': 9.0, 'hidden_layers': 6, 'learning_rate': 0.0002757264720256768, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 4.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 4.0, 'mapfunction_6': 12.0, 'mapfunction_7': 0, 'mapfunction_8': 2.0, 'mapfunction_9': 0}",23,0.6384602666480921,0.3615397333519079,9.512901306152344e-05
"{'hid_epoches': 9.0, 'hidden_layers': 6, 'learning_rate': 0.00026118418816171047, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 5.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 4.0, 'mapfunction_6': 8.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 3.0}",24,0.634454785886561,0.365545214113439,9.179115295410156e-05
"{'hid_epoches': 13.0, 'hidden_layers': 6, 'learning_rate': 0.0004123007483949166, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 1.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 4.0, 'mapfunction_6': 10.0, 'mapfunction_7': 0, 'mapfunction_8': 3.0, 'mapfunction_9': 0}",25,0.6364665026693479,0.3635334973306521,9.083747863769531e-05
"{'hid_epoches': 11.0, 'hidden_layers': 6, 'learning_rate': 0.00019890426352373145, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 3.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 6.0, 'mapfunction_6': 11.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 0}",27,0.6390063923895312,0.36099360761046884,0.0001270771026611328
