hyperparameters,iteration,accs,object_loss,run_time
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 32, 'hid_epoches': 5.0, 'hid_learning_rate': 5e-05, 'hidden_act': 2, 'hidden_dropout_prob': 0.4, 'hidden_size': 48.0, 'intermediate_size': 1408.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 7.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 10.0, 'mapfunction_9': 2.0, 'max_sequence_length': 418.0, 'num_attention_heads': 12, 'num_hidden_layers': 7.0, 'position_embedding_type': 1, 'pred_learning_rate': 0.0001, 'tokenizer': 5, 'vocab_size': 50265}",2,10.101273591786885,-9.101273591786885,0.0002651214599609375
"{'attention_probs_dropout_prob': 0.1, 'batch_size': 16, 'hid_epoches': 8.0, 'hid_learning_rate': 5e-05, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 192.0, 'intermediate_size': 864.0, 'loss_function': 1, 'mapfunction_1': 6.0, 'mapfunction_10': 6.0, 'mapfunction_11': 7.0, 'mapfunction_12': 0, 'mapfunction_2': 10.0, 'mapfunction_3': 7.0, 'mapfunction_4': 2.0, 'mapfunction_5': 3.0, 'mapfunction_6': 0, 'mapfunction_7': 8.0, 'mapfunction_8': 0, 'mapfunction_9': 6.0, 'max_sequence_length': 400.0, 'num_attention_heads': 12, 'num_hidden_layers': 2.0, 'position_embedding_type': 3, 'pred_learning_rate': 0.0001, 'tokenizer': 5, 'vocab_size': 50265}",4,10.103707967291799,-9.103707967291799,0.00032806396484375
"{'attention_probs_dropout_prob': 0.3, 'batch_size': 32, 'hid_epoches': 11.0, 'hid_learning_rate': 0.001, 'hidden_act': 2, 'hidden_dropout_prob': 0.1, 'hidden_size': 96.0, 'intermediate_size': 448.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 6.0, 'mapfunction_2': 2.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 6.0, 'mapfunction_7': 0, 'mapfunction_8': 3.0, 'mapfunction_9': 5.0, 'max_sequence_length': 482.0, 'num_attention_heads': 12, 'num_hidden_layers': 3.0, 'position_embedding_type': 1, 'pred_learning_rate': 0.001, 'tokenizer': 5, 'vocab_size': 50265}",8,10.106557959040792,-9.106557959040792,0.0003116130828857422
"{'attention_probs_dropout_prob': 0.1, 'batch_size': 16, 'hid_epoches': 13.0, 'hid_learning_rate': 0.001, 'hidden_act': 3, 'hidden_dropout_prob': 0.1, 'hidden_size': 192.0, 'intermediate_size': 1056.0, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 11.0, 'mapfunction_3': 4.0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 2.0, 'mapfunction_7': 2.0, 'mapfunction_8': 4.0, 'mapfunction_9': 0, 'max_sequence_length': 337.0, 'num_attention_heads': 12, 'num_hidden_layers': 2.0, 'position_embedding_type': 3, 'pred_learning_rate': 0.0001, 'tokenizer': 5, 'vocab_size': 50265}",15,10.097430747852481,-9.097430747852481,0.00028014183044433594
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 8.0, 'hid_learning_rate': 5e-05, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 240.0, 'intermediate_size': 896.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 8.0, 'mapfunction_7': 2.0, 'mapfunction_8': 0, 'mapfunction_9': 8.0, 'max_sequence_length': 501.0, 'num_attention_heads': 12, 'num_hidden_layers': 2.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",55,10.110161535067121,-9.110161535067121,0.00032329559326171875
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 9.0, 'hid_learning_rate': 5e-05, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 240.0, 'intermediate_size': 256.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 5.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 9.0, 'mapfunction_6': 8.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0, 'max_sequence_length': 488.0, 'num_attention_heads': 12, 'num_hidden_layers': 3.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",56,10.113032480099365,-9.113032480099365,0.00027489662170410156
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 9.0, 'hid_learning_rate': 5e-05, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 240.0, 'intermediate_size': 512.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 6.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 10.0, 'mapfunction_6': 7.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0, 'max_sequence_length': 506.0, 'num_attention_heads': 12, 'num_hidden_layers': 3.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",60,10.11367949111416,-9.11367949111416,0.00036978721618652344
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 7.0, 'hid_learning_rate': 5e-05, 'hidden_act': 1, 'hidden_dropout_prob': 0.4, 'hidden_size': 192.0, 'intermediate_size': 2016.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 11.0, 'mapfunction_6': 6.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 10.0, 'max_sequence_length': 418.0, 'num_attention_heads': 12, 'num_hidden_layers': 5.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",65,10.112895719584504,-9.112895719584504,0.0004229545593261719
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 10.0, 'hid_learning_rate': 5e-05, 'hidden_act': 3, 'hidden_dropout_prob': 0.4, 'hidden_size': 240.0, 'intermediate_size': 2592.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 8.0, 'mapfunction_6': 9.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 11.0, 'max_sequence_length': 504.0, 'num_attention_heads': 12, 'num_hidden_layers': 5.0, 'position_embedding_type': 1, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",73,10.112079239255333,-9.112079239255333,0.0007534027099609375
"{'attention_probs_dropout_prob': 0.5, 'batch_size': 16, 'hid_epoches': 5.0, 'hid_learning_rate': 0.0001, 'hidden_act': 3, 'hidden_dropout_prob': 0.3, 'hidden_size': 144.0, 'intermediate_size': 2240.0, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 0, 'mapfunction_2': 5.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 5.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 7.0, 'max_sequence_length': 389.0, 'num_attention_heads': 12, 'num_hidden_layers': 2.0, 'position_embedding_type': 2, 'pred_learning_rate': 5e-05, 'tokenizer': 5, 'vocab_size': 50265}",83,10.108523178131332,-9.108523178131332,0.0003254413604736328
