Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Pred Learning Rate,Batch Size,Loss Function,Hid Learning Rate,Hid Epoches,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
BERT-BPE,50265,4,240,gelu,0.4,2880,12,0.4,310,absolute,0.0001,16,kl,0.0001,9,1,0,0,7,7,0,2,5,0,0,3,10,0.6174963396778916,0.42168674698795183,0.8,0.3243470935130581
BERT-BPE,50265,4,240,relu,0.3,2144,12,0.3,262,relative_key_query,5e-05,16,mse,0.001,8,5,0,0,0,10,2,4,5,0,8,0,11,0.613103953147877,0.37786933490288405,1.0,0.2704296545914069
BERT-BPE,50265,6,48,gelu_new,0.1,512,12,0.2,440,absolute,0.0001,16,kl,5e-05,5,0,0,6,0,0,0,9,0,9,3,12,5,0.6120058565153733,0.45191313340227507,0.6026490066225165,0.36815501263689976
BERT-BPE,50265,3,240,gelu_new,0.4,1472,12,0.1,300,relative_key,0.001,32,kl,5e-05,10,0,11,0,0,0,9,12,0,0,12,12,0,0.62701317715959,0.45537145911277394,0.6746031746031746,0.35888795282224095
BERT-BPE,50265,2,240,silu,0.3,192,12,0.1,412,relative_key_query,0.001,32,mse,0.0001,11,2,0,4,6,5,1,0,0,0,11,11,0,0.6292093704245973,0.5040189125295508,0.6294642857142857,0.44903117101937656
BERT-BPE,50265,3,192,gelu,0.4,2816,12,0.4,386,absolute,0.0001,32,kl,5e-05,10,6,0,7,11,11,12,0,0,6,11,1,3,0.6061493411420205,0.3495934959349593,0.6275862068965518,0.2535804549283909
BERT-BPE,50265,3,96,relu,0.5,384,12,0.3,426,relative_key_query,0.001,16,kl,5e-05,6,7,0,0,0,0,1,0,7,0,0,0,0,0.6153001464128843,0.5266935845670704,0.6027190332326284,0.4945240101095198
BERT-BPE,50265,4,48,silu,0.5,1440,12,0.2,282,absolute,0.001,16,kl,0.001,11,8,0,9,11,0,0,4,0,0,4,3,0,0.5878477306002928,0.18405797101449275,0.6722689075630253,0.10699241786015164
BERT-BPE,50265,4,96,relu,0.3,352,12,0.5,287,relative_key_query,5e-05,32,kl,0.0001,5,0,9,0,0,0,3,1,4,0,6,0,7,0.5794289897510981,0.3284628872004676,0.5694444444444444,0.2367312552653749
BERT-BPE,50265,6,144,relu,0.5,352,12,0.3,280,relative_key_query,0.0001,16,kl,5e-05,11,0,0,0,0,0,11,0,0,0,0,0,8,0.592606149341142,0.2279863481228669,0.7272727272727273,0.14069081718618365
BERT-BPE,50265,11,96,silu,0.3,480,12,0.2,369,relative_key,0.001,32,mse,0.0001,11,4,0,0,0,0,11,0,12,0,0,0,3,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,5,48,gelu,0.3,928,12,0.2,358,relative_key_query,5e-05,32,kl,0.001,9,6,0,0,0,0,0,5,0,2,2,3,1,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,5,144,relu,0.4,1824,12,0.1,437,relative_key_query,0.001,16,kl,5e-05,10,0,2,7,0,0,0,3,7,0,0,10,0,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,6,192,gelu_new,0.2,2464,12,0.3,434,absolute,0.001,16,mse,0.001,7,0,0,7,0,0,0,0,12,9,5,5,2,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,3,144,gelu_new,0.2,1856,12,0.2,404,relative_key_query,5e-05,32,mse,5e-05,7,0,0,11,7,2,8,9,8,1,0,5,0,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,2,96,silu,0.1,2784,12,0.4,259,absolute,0.0001,32,mse,5e-05,8,9,0,11,0,2,0,2,2,0,0,12,0,0.5655197657393851,0.01818181818181818,0.4782608695652174,0.009267059814658803
BERT-BPE,50265,5,192,relu,0.1,1024,12,0.3,264,absolute,5e-05,16,kl,0.0001,11,0,3,0,4,0,7,0,10,7,10,0,10,0.613103953147877,0.41698841698841693,0.6109422492401215,0.3184498736310025
BERT-BPE,50265,6,144,gelu_new,0.5,2016,12,0.5,435,absolute,0.0001,32,mse,0.0001,5,5,0,0,9,0,0,11,3,6,7,0,0,0.5805270863836017,0.4217961654894047,0.5257861635220126,0.35214827295703455
BERT-BPE,50265,1,96,gelu_new,0.5,1152,12,0.1,351,relative_key,0.0001,32,kl,0.001,8,2,1,3,6,0,0,2,3,0,0,0,0,0.5655197657393851,0.0,0.0,0.0
BERT-BPE,50265,7,144,silu,0.4,96,12,0.4,468,relative_key_query,5e-05,16,mse,0.0001,12,7,0,0,9,0,0,0,11,12,0,0,3,0.5940702781844802,0.617365467150875,0.5241038318912238,0.7877000842459984
