Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Pred Learning Rate,Batch Size,Loss Function,Hid Learning Rate,Hid Epoches,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
Word,44000,4,137,gelu_new,0.2,2468,2,0.2,490,relative_key,5e-05,64,kl,0.001,9,0,0,0,5,10,8,0,0,0,0,4,0,0.57,0.55,0.52,0.57
WordPiece,11000,2,251,relu,0.5,2458,2,0.4,497,relative_key_query,0.001,16,kl,5e-05,8,7,10,0,0,2,0,8,0,6,0,0,4,0.59,0.53,0.57,0.57
WordPiece,30000,8,199,relu,0.3,1589,1,0.5,501,absolute,5e-05,16,kl,5e-05,8,1,0,4,5,0,0,9,0,0,0,7,0,0.56,0.53,0.52,0.58
BPE,43000,2,71,gelu,0.1,489,1,0.2,496,relative_key,0.001,16,mse,0.0001,7,3,8,5,11,0,6,6,12,0,0,0,0,0.51,0.5,0.56,0.56
Unigram,9000,12,239,gelu,0.2,372,2,0.4,417,relative_key_query,0.0001,16,mse,0.001,7,0,7,0,0,0,0,0,0,0,0,0,0,0.55,0.52,0.56,0.58
WordPiece,42000,6,195,gelu,0.5,481,2,0.2,474,absolute,5e-05,64,kl,0.001,11,0,1,10,0,0,0,10,6,9,5,0,11,0.56,0.52,0.57,0.53
Word,6000,4,165,gelu,0.2,2711,4,0.2,438,relative_key_query,5e-05,32,kl,5e-05,12,7,0,0,9,1,6,0,0,8,1,4,8,0.6,0.58,0.54,0.5
Unigram,43000,2,41,gelu_new,0.2,2256,2,0.4,273,absolute,5e-05,16,mse,5e-05,9,5,11,8,0,0,4,0,0,0,10,0,8,0.54,0.54,0.58,0.58
Word,20000,4,120,relu,0.1,469,2,0.4,504,relative_key,0.001,64,kl,5e-05,10,0,2,0,11,0,0,0,0,8,5,4,3,0.54,0.51,0.51,0.52
BPE,4000,4,104,relu,0.3,1843,2,0.2,482,absolute,0.0001,64,kl,0.0001,8,5,0,0,0,1,0,0,11,0,8,0,8,0.6,0.51,0.52,0.59
Word,34000,4,50,silu,0.5,2465,2,0.5,261,absolute,0.001,16,mse,0.0001,11,6,0,0,0,0,1,0,0,0,0,0,8,0.54,0.52,0.55,0.59
WordPiece,17000,7,82,relu,0.3,1502,7,0.5,440,relative_key_query,5e-05,64,mse,0.0001,12,2,0,0,0,0,0,0,0,10,5,3,4,0.54,0.51,0.51,0.53
Unigram,6000,6,204,gelu_new,0.3,212,2,0.3,503,relative_key,0.001,16,mse,0.0001,4,5,0,0,0,0,0,5,9,0,0,0,0,0.52,0.59,0.51,0.56
Unigram,36000,6,51,gelu,0.2,2643,6,0.2,314,relative_key_query,0.001,64,kl,0.0001,10,0,0,0,7,0,0,0,0,2,11,0,11,0.56,0.54,0.52,0.52
WordPiece,41000,6,21,gelu,0.1,424,3,0.4,351,relative_key_query,0.001,32,mse,0.001,7,1,2,9,0,0,11,0,0,0,8,10,0,0.51,0.55,0.55,0.56
Word,38000,4,232,gelu_new,0.4,1690,1,0.2,321,relative_key_query,0.001,32,mse,5e-05,10,9,0,0,0,0,1,8,7,0,0,0,0,0.54,0.52,0.6,0.57
BPE,34000,12,160,relu,0.4,1166,6,0.3,394,absolute,5e-05,16,mse,0.001,5,0,8,0,0,10,0,0,0,0,0,0,0,0.52,0.52,0.51,0.52
Word,39000,6,25,gelu_new,0.5,1987,3,0.5,451,relative_key,5e-05,32,mse,0.001,12,0,1,0,0,0,6,0,4,6,4,0,0,0.6,0.51,0.58,0.53
Unigram,31000,10,72,gelu,0.3,2668,10,0.1,269,relative_key_query,0.001,32,mse,0.0001,11,0,0,7,0,0,0,0,0,11,0,0,5,0.55,0.57,0.54,0.53
Word,18000,9,92,relu,0.3,2378,3,0.2,289,absolute,0.001,64,kl,5e-05,11,0,0,0,0,0,0,0,0,4,0,7,0,0.51,0.51,0.6,0.51
