hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 10000.0, 'hidden_layers': 5.0, 'learning_rate': 0.00013821313721034043, 'loss_function': 2, 'mapfunction_1': 2.0, 'mapfunction_10': 3.0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 11.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 0}",3,17.056576732401112,-16.056576732401112,0.0002651214599609375
"{'hid_epoches': 15000.0, 'hidden_layers': 3.0, 'learning_rate': 5.89773081121369e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 5.0, 'mapfunction_12': 2.0, 'mapfunction_2': 6.0, 'mapfunction_3': 7.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 8.0, 'mapfunction_7': 3.0, 'mapfunction_8': 4.0, 'mapfunction_9': 1.0}",7,17.571656028161065,-16.571656028161065,0.00013113021850585938
"{'hid_epoches': 20000.0, 'hidden_layers': 2.0, 'learning_rate': 0.00016467661842117415, 'loss_function': 2, 'mapfunction_1': 5.0, 'mapfunction_10': 9.0, 'mapfunction_11': 9.0, 'mapfunction_12': 1.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 1.0, 'mapfunction_8': 4.0, 'mapfunction_9': 0}",8,18.08697318509907,-17.08697318509907,0.00011658668518066406
"{'hid_epoches': 20000.0, 'hidden_layers': 3.0, 'learning_rate': 0.00021742828884810435, 'loss_function': 2, 'mapfunction_1': 10.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 4.0, 'mapfunction_8': 8.0, 'mapfunction_9': 9.0}",10,18.086823868280685,-17.086823868280685,0.00011205673217773438
"{'hid_epoches': 25000.0, 'hidden_layers': 3.0, 'learning_rate': 7.126328934000798e-05, 'loss_function': 1, 'mapfunction_1': 7.0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 4.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 4.0}",12,18.602315605854304,-17.602315605854304,0.00012373924255371094
"{'hid_epoches': 20000.0, 'hidden_layers': 6.0, 'learning_rate': 5.877953017698199e-05, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 7.0, 'mapfunction_7': 11.0, 'mapfunction_8': 10.0, 'mapfunction_9': 10.0}",14,18.087169244655882,-17.087169244655882,0.00010657310485839844
"{'hid_epoches': 10000.0, 'hidden_layers': 1.0, 'learning_rate': 0.00018986596624058415, 'loss_function': 1, 'mapfunction_1': 7.0, 'mapfunction_10': 4.0, 'mapfunction_11': 5.0, 'mapfunction_12': 0, 'mapfunction_2': 3.0, 'mapfunction_3': 10.0, 'mapfunction_4': 0, 'mapfunction_5': 1.0, 'mapfunction_6': 3.0, 'mapfunction_7': 0, 'mapfunction_8': 0, 'mapfunction_9': 8.0}",15,17.05629054228601,-16.05629054228601,0.00010013580322265625
"{'hid_epoches': 15000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00039835578917282933, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 6.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 12.0, 'mapfunction_5': 1.0, 'mapfunction_6': 5.0, 'mapfunction_7': 5.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",16,17.571444495589976,-16.571444495589976,9.942054748535156e-05
"{'hid_epoches': 15000.0, 'hidden_layers': 2.0, 'learning_rate': 0.00014232292287462626, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 12.0, 'mapfunction_2': 9.0, 'mapfunction_3': 0, 'mapfunction_4': 5.0, 'mapfunction_5': 8.0, 'mapfunction_6': 9.0, 'mapfunction_7': 3.0, 'mapfunction_8': 0, 'mapfunction_9': 11.0}",19,17.571809659411922,-16.571809659411922,0.00010204315185546875
"{'hid_epoches': 20000.0, 'hidden_layers': 5.0, 'learning_rate': 6.203642088895821e-05, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 2.0, 'mapfunction_11': 3.0, 'mapfunction_12': 6.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 4.0, 'mapfunction_9': 0}",20,18.086767935043966,-17.086767935043966,0.00010204315185546875
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.000313470030282564, 'loss_function': 1, 'mapfunction_1': 5.0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 4.0}",21,18.602692760957755,-17.602692760957755,0.00010395050048828125
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00033545429034170397, 'loss_function': 1, 'mapfunction_1': 5.0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 4.0}",22,18.602629405831227,-17.602629405831227,0.00010991096496582031
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00033962190240183665, 'loss_function': 1, 'mapfunction_1': 5.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 4.0}",23,18.60272443852095,-17.60272443852095,0.00010561943054199219
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00031846022813128416, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 2.0}",24,18.602645623195798,-17.602645623195798,0.00011372566223144531
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0005253183169218946, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 5.0}",25,18.602745272372914,-17.602745272372914,0.00010132789611816406
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0005344816136794144, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 2.0, 'mapfunction_9': 6.0}",26,18.602468766809526,-17.602468766809526,0.0001010894775390625
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0004943398674681283, 'loss_function': 1, 'mapfunction_1': 12.0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 10.0, 'mapfunction_9': 5.0}",27,18.602642219174072,-17.602642219174072,9.059906005859375e-05
