learning_rate,hid_epoches,loss_function,hidden_layers,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,BLEU,PPL
0.0002635203454698099,10000.0,1,6,0,0,6,0,10,0,9,11,0,0,0,0,17.92,23.23927
0.0001203042485461715,30000.0,1,6,1,0,5,8,0,0,7,11,10,10,0,0,17.66,22.37492
0.0001433402084659621,10000.0,1,6,0,0,0,0,2,0,5,0,4,4,0,0,17.67,25.90543
6.155809141537302e-05,15000.0,1,6,0,0,4,0,0,0,2,9,11,0,4,6,17.13,25.94317
0.00011231228387950476,10000.0,1,6,6,0,0,0,12,0,6,0,0,0,4,1,16.92,25.64997
0.0007873149010763636,20000.0,1,6,0,9,0,0,0,0,8,6,0,0,0,4,17.78,21.10635
0.00014970770917416355,10000.0,1,6,0,0,4,9,0,0,0,6,6,0,0,0,17.26,24.35392
0.0002452562455828165,20000.0,2,6,0,0,0,3,0,0,12,0,4,0,6,8,17.92,21.9315
0.0003436842784231027,20000.0,1,6,1,0,4,6,0,0,6,0,0,0,0,0,17.89,21.34863
0.00033587201727757024,20000.0,1,6,11,0,0,0,0,0,12,0,0,0,0,3,17.04,23.09426
0.00011981421238011629,15000.0,2,6,0,0,0,0,8,10,0,7,12,2,4,0,17.9,23.06343
0.0003805635187616011,20000.0,1,6,0,0,0,2,0,4,11,3,0,8,0,2,18.19,21.89906
8.014910560609092e-05,20000.0,2,6,10,11,12,0,0,0,11,8,6,0,2,0,17.2,23.71105
0.00034403886184595573,30000.0,1,6,0,0,4,0,5,10,0,11,0,12,0,12,18.12,21.61946
7.138634590797903e-05,15000.0,1,6,0,0,2,11,0,0,12,0,5,0,0,0,17.42,26.26252
8.467269129352503e-05,25000.0,1,6,5,0,8,11,0,0,0,5,0,0,0,0,17.88,23.90864
0.0007100545511065864,30000.0,2,6,0,0,0,4,5,0,0,10,8,0,0,0,11.2,48.87202
0.0002742846909976292,15000.0,2,6,0,5,7,0,0,0,10,6,0,0,1,5,18.39,21.33527
0.0003300233148915707,25000.0,2,6,0,0,0,0,2,6,0,2,0,0,8,0,18.13,21.38164
0.00020905951546104342,20000.0,1,6,0,4,9,0,0,0,0,6,0,0,9,11,17.76,22.45251
